"category","repository","url","description","access","research_snapshot","platforms","platform_notes","platform_source","platform_checked_at","stars","last_pushed_at","metadata_checked_at"
"Color grading, DCTLs, film looks, and color science","Senthil360/RenderHub-DCTLs","https://github.com/Senthil360/RenderHub-DCTLs","Creative and film-look DCTL collection for Resolve Studio.","Public","2026-09-06","Windows;macOS","","https://github.com/Senthil360/RenderHub-DCTLs#readme","2026-09-06","25","2026-09-01T03:54:22Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","thatcherfreeman/aces-transforms","https://github.com/thatcherfreeman/aces-transforms","Custom ACES input and output transforms.","Public","2026-09-06","Windows;macOS","","https://github.com/thatcherfreeman/aces-transforms#readme","2026-09-06","60","2026-08-23T15:06:31Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","exones/davinci","https://github.com/exones/davinci","Custom Resolve DCTL effects.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/exones/davinci#readme","2026-09-06","2","2025-03-14T21:51:49Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","Georj01/davinci-dctl","https://github.com/Georj01/davinci-dctl","Minimalist DCTL visual tools and effects.","Public","2026-09-06","Windows;macOS","","https://github.com/Georj01/davinci-dctl#readme","2026-09-06","2","2026-07-16T11:14:14Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","kubabar/DCTLs","https://github.com/kubabar/DCTLs","Technical color-space conversion tools, including XYZ conversion.","Free","2026-09-06","Unverified","","https://github.com/kubabar/DCTLs#readme","2026-09-06","2","2024-03-03T00:23:47Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","olduvai-jp/DCTL-MLAA","https://github.com/olduvai-jp/DCTL-MLAA","Morphological anti-aliasing in DCTL and Fuse forms.","Public","2026-09-06","Windows;macOS","","https://github.com/olduvai-jp/DCTL-MLAA#readme","2026-09-06","13","2026-03-06T04:28:59Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","RichardUffy/Uffy-PhotoChemical-Look-Process-for-DaVinci-Resolve-Studio","https://github.com/RichardUffy/Uffy-PhotoChemical-Look-Process-for-DaVinci-Resolve-Studio","Film-look system combining DCTLs, LUTs, and PowerGrades in a Studio/DWG workflow.","Public","2026-09-06","Unverified","","https://github.com/RichardUffy/Uffy-PhotoChemical-Look-Process-for-DaVinci-Resolve-Studio#readme","2026-09-06","0","2025-04-10T00:37:52Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","lakravana/Martis-Bleach-Bypass","https://github.com/lakravana/Martis-Bleach-Bypass","Bleach-bypass-style DCTL look.","Public","2026-09-06","Unverified","","https://github.com/lakravana/Martis-Bleach-Bypass#readme","2026-09-06","0","2026-07-10T16:29:19Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","shenmintao/V-Log-Alchemy","https://github.com/shenmintao/V-Log-Alchemy","Film-look/color tools aimed at V-Log footage.","Public","2026-09-06","Unverified","","https://github.com/shenmintao/V-Log-Alchemy#readme","2026-09-06","357","2026-08-17T15:20:06Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","Kartaverse/Reactor-Standalone","https://github.com/Kartaverse/Reactor-Standalone","Standalone desktop package manager for community Fusion/Resolve tools. Beta; package compatibility varies.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/Kartaverse/Reactor-Standalone#readme","2026-09-06","95","2026-08-30T09:32:05Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","Kartaverse/VonkUltra","https://github.com/Kartaverse/VonkUltra","Data-driven and generative node tools for Fusion.","Public","2026-09-06","Unverified","","https://github.com/Kartaverse/VonkUltra#readme","2026-09-06","11","2026-07-27T22:05:11Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","Kartaverse/Kartaverse-Docs","https://github.com/Kartaverse/Kartaverse-Docs","KartaVR and immersive-workflow documentation. KartaVR active support ended in January 2026, although packages remain available through Reactor.","Free reference","2026-09-06","Reference","","https://github.com/Kartaverse/Kartaverse-Docs#readme","2026-09-06","11","2026-07-08T14:10:33Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","nmbr73/Shaderfuse","https://github.com/nmbr73/Shaderfuse","Shadertoy-style GPU shaders converted into Fusion Fuses.","Public","2026-09-06","Windows;macOS","","https://github.com/nmbr73/Shaderfuse#readme","2026-09-06","78","2026-09-04T12:52:53Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","J-i-P-i/Shadertoys","https://github.com/J-i-P-i/Shadertoys","Experimental Shadertoy-to-Fusion shader collection/incubator.","Public","2026-09-06","Unverified","","https://github.com/J-i-P-i/Shadertoys#readme","2026-09-06","4","2022-11-09T08:10:28Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","baldavenger/BaldavengerPlugins","https://github.com/baldavenger/BaldavengerPlugins","OpenFX image-processing and grading plugins; check older binaries against your system.","Public","2026-09-06","Windows;macOS;Linux","","https://github.com/baldavenger/BaldavengerPlugins#readme","2026-09-06","148","2021-09-01T16:13:51Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","ntsc-rs/ntsc-rs","https://github.com/ntsc-rs/ntsc-rs","VHS, NTSC, and analog-video effects, including an OpenFX plugin.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/ntsc-rs/ntsc-rs/releases/latest","2026-09-06","2552","2026-09-05T21:08:22Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","gyroflow/gyroflow-plugins","https://github.com/gyroflow/gyroflow-plugins","Gyro-data-driven stabilization through OpenFX and other plugin formats.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/gyroflow/gyroflow-plugins#readme","2026-09-06","122","2026-09-01T19:30:52Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","alexandremendoncaalvaro/CorridorKey-Runtime","https://github.com/alexandremendoncaalvaro/CorridorKey-Runtime","Local AI keying with OpenFX, command-line, and desktop interfaces. Check its GPU support matrix.","Free","2026-09-06","Windows;macOS","Windows NVIDIA RTX; macOS Apple Silicon. Other GPU tracks vary.","https://github.com/alexandremendoncaalvaro/CorridorKey-Runtime#readme","2026-09-06","745","2026-08-05T20:48:46Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","Akascape/Rembg-Fuse","https://github.com/Akascape/Rembg-Fuse","AI background removal inside Fusion using external Python/model dependencies.","Free","2026-09-06","Unverified","","https://github.com/Akascape/Rembg-Fuse#readme","2026-09-06","208","2026-07-05T20:40:39Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","Akascape/Super-Style-Transfer-Fuse","https://github.com/Akascape/Super-Style-Transfer-Fuse","Neural artistic style transfer inside Fusion.","Free","2026-09-06","Unverified","","https://github.com/Akascape/Super-Style-Transfer-Fuse#readme","2026-09-06","3","2026-08-23T17:06:54Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","Akascape/RemObj-Fuse","https://github.com/Akascape/RemObj-Fuse","Masked object removal/inpainting using LaMa; README supports Free and Studio.","Free","2026-09-06","Unverified","","https://github.com/Akascape/RemObj-Fuse#readme","2026-09-06","20","2026-07-05T20:40:57Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","brunocbreis/FuAlign","https://github.com/brunocbreis/FuAlign","Align and distribute visual elements in Fusion compositions.","Public","2026-09-06","Windows;macOS","","https://github.com/brunocbreis/FuAlign#readme","2026-09-06","33","2022-08-22T20:18:15Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","EmberLightVFX/Tetrahedral-Interpolation-for-Fusion","https://github.com/EmberLightVFX/Tetrahedral-Interpolation-for-Fusion","Fusion implementation of tetrahedral color manipulation.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/EmberLightVFX/Tetrahedral-Interpolation-for-Fusion#readme","2026-09-06","32","2021-04-19T11:58:51Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","AntonChernov86/Fuses","https://github.com/AntonChernov86/Fuses","Custom Fusion Fuse collection.","Public","2026-09-06","Windows","","https://github.com/AntonChernov86/Fuses#readme","2026-09-06","0","2023-11-09T15:14:43Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","ChrisRidings/GifSaverFuse","https://github.com/ChrisRidings/GifSaverFuse","GIF saving/export from Fusion.","Public","2026-09-06","Windows;macOS","","https://github.com/ChrisRidings/GifSaverFuse#readme","2026-09-06","18","2021-02-27T10:20:22Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","rne1223/DaFusion","https://github.com/rne1223/DaFusion","Learning-oriented/sample Fusion Fuses.","Free","2026-09-06","Unverified","","https://github.com/rne1223/DaFusion#readme","2026-09-06","1","2021-02-26T21:15:34Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","Mr-Robby/chat-generator-fuse","https://github.com/Mr-Robby/chat-generator-fuse","Animated chat/message overlays.","Public","2026-09-06","Windows;macOS;Linux","","https://github.com/Mr-Robby/chat-generator-fuse#readme","2026-09-06","0","2025-10-01T22:03:17Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","BasketOfNekos/Midi-based-Animation-Iterator-For-DaVinci-Resolve","https://github.com/BasketOfNekos/Midi-based-Animation-Iterator-For-DaVinci-Resolve","Drives Fusion animation from MIDI data.","Public","2026-09-06","Windows;macOS;Linux","","https://github.com/BasketOfNekos/Midi-based-Animation-Iterator-For-DaVinci-Resolve#readme","2026-09-06","7","2026-07-22T22:52:12Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","mrJohnHolt/davinci-resolve-fusion-expressions","https://github.com/mrJohnHolt/davinci-resolve-fusion-expressions","Expressions, macros, and reusable visual templates.","Public","2026-09-06","Unverified","","https://github.com/mrJohnHolt/davinci-resolve-fusion-expressions#readme","2026-09-06","2","2026-06-05T08:11:06Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","EmberLightVFX/Gyroflow-to-CSV","https://github.com/EmberLightVFX/Gyroflow-to-CSV","Gyro telemetry export for Fusion camera/data-driven workflows.","Public","2026-09-06","Unverified","","https://github.com/EmberLightVFX/Gyroflow-to-CSV#readme","2026-09-06","18","2023-01-05T11:39:24Z","2026-09-06T11:20:45Z"
"Fusion, motion graphics, visual effects, and package management","raghavdhin/CapitalEase","https://github.com/raghavdhin/CapitalEase","Easing presets and live curve editing. Its UI requires Studio on Resolve 19.1+.","Free","2026-09-06","Windows;macOS","","https://github.com/raghavdhin/CapitalEase#readme","2026-09-06","1","2026-07-16T15:07:54Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","tmoroney/auto-subs","https://github.com/tmoroney/auto-subs","Local transcription and styled/animated subtitle workflows, with standalone and Resolve integration.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/tmoroney/auto-subs#readme","2026-09-06","4137","2026-09-05T21:10:05Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","octimot/StoryToolkitAI","https://github.com/octimot/StoryToolkitAI","Transcription, translation, search, and story-oriented editing. Local features are free; direct Resolve integration requires Studio.","Free; optional paid services","2026-09-06","Unverified","","https://github.com/octimot/StoryToolkitAI#readme","2026-09-06","1009","2026-07-28T06:37:10Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","david-ca6/Resolve-OpenCaptions","https://github.com/david-ca6/Resolve-OpenCaptions","Converts subtitles into editable Text+ clips; explicitly supports Free and Studio.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/david-ca6/Resolve-OpenCaptions#readme","2026-09-06","30","2026-08-10T17:42:46Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","cutbypham/snap-captions","https://github.com/cutbypham/snap-captions","Community Snap Captions distribution and additional caption styles. The older licitfree link redirects here.","Public","2026-09-06","Unverified","","https://github.com/cutbypham/snap-captions#readme","2026-09-06","27","2025-03-22T05:18:27Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","veritus-git/BadWords","https://github.com/veritus-git/BadWords","Local transcript-based rough cutting, including silence, filler-word, and retake handling.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/veritus-git/BadWords#readme","2026-09-06","31","2026-09-04T23:14:19Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","oliwoli/HushCut","https://github.com/oliwoli/HushCut","Silence-based editing helper for Resolve workflows.","Public","2026-09-06","Windows;macOS;Linux","","https://github.com/oliwoli/HushCut#readme","2026-09-06","19","2025-12-30T15:39:27Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","YourAverageMo/auto-silence-cut","https://github.com/YourAverageMo/auto-silence-cut","Automatic silence cutting with an editable Resolve workflow.","Public","2026-09-06","Windows;macOS","","https://github.com/YourAverageMo/auto-silence-cut#readme","2026-09-06","24","2025-09-24T20:40:15Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","2445868686/DaVinci-Resolve-TTS","https://github.com/2445868686/DaVinci-Resolve-TTS","Text-to-speech integrations with external voice providers; provider usage can cost money.","Mixed","2026-09-06","Windows;macOS","","https://github.com/2445868686/DaVinci-Resolve-TTS#readme","2026-09-06","19","2025-09-01T03:02:38Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","2445868686/DaVinci-Resolve-Whisper","https://github.com/2445868686/DaVinci-Resolve-Whisper","Whisper transcription through local or cloud-backed workflows.","Public; optional service costs","2026-09-06","Windows;macOS","","https://github.com/2445868686/DaVinci-Resolve-Whisper#readme","2026-09-06","10","2025-09-03T06:33:04Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","Nusscookie/clautter","https://github.com/Nusscookie/clautter","AI-assisted talking-head cleanup. Beta. A paid installer is planned, while the plugin remains free.","Free","2026-09-06","Windows;macOS;Linux","macOS and Linux are listed but untested by the maintainer.","https://github.com/Nusscookie/clautter#readme","2026-09-06","1","2026-06-22T15:07:47Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","ikm-san/autotitles-community","https://github.com/ikm-san/autotitles-community","CLI/API subtitle-to-Fusion-title workflow for Studio. Free for commercial video work, but not open source; separate GUI editions exist.","Mixed","2026-09-06","Unverified","","https://github.com/ikm-san/autotitles-community#readme","2026-09-06","0","2026-07-09T13:33:45Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","WyattBlue/auto-editor","https://github.com/WyattBlue/auto-editor","Standalone automatic editing with NLE timeline-export workflows; not a native Resolve plugin.","Public","2026-09-06","Unverified","","https://github.com/WyattBlue/auto-editor#readme","2026-09-06","5164","2026-09-03T01:47:12Z","2026-09-06T11:20:45Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","JiginJayaprakash/resolve-textplus-srt-importer","https://github.com/JiginJayaprakash/resolve-textplus-srt-importer","Imports SRT subtitles as styled Fusion Text+ clips.","Free","2026-09-06","Unverified","","https://github.com/JiginJayaprakash/resolve-textplus-srt-importer#readme","2026-09-06","2","2026-03-19T16:51:41Z","2026-09-06T11:20:45Z"
"AI assistants, MCP servers, and ComfyUI integrations","samuelgursky/davinci-resolve-mcp","https://github.com/samuelgursky/davinci-resolve-mcp","AI-client access to media, timeline, rendering, and other Resolve operations through MCP. Studio workflow.","Public; AI costs separate","2026-09-06","Windows;macOS;Linux","","https://github.com/samuelgursky/davinci-resolve-mcp#readme","2026-09-06","2414","2026-09-06T05:57:01Z","2026-09-06T11:20:45Z"
"AI assistants, MCP servers, and ComfyUI integrations","barckley75/resolve-claude-mcp","https://github.com/barckley75/resolve-claude-mcp","Claude/MCP integration for Resolve automation.","Public; AI costs separate","2026-09-06","macOS","Tested on Apple Silicon only; Windows/Linux core tools unverified. Transcription and screenshots are macOS-only.","https://github.com/barckley75/resolve-claude-mcp#readme","2026-09-06","350","2026-05-14T13:24:14Z","2026-09-06T11:20:45Z"
"AI assistants, MCP servers, and ComfyUI integrations","apvlv/davinci-resolve-mcp","https://github.com/apvlv/davinci-resolve-mcp","Another Resolve/Fusion MCP implementation; capabilities differ from the other servers.","Public; AI costs separate","2026-09-06","Unverified","","https://github.com/apvlv/davinci-resolve-mcp#readme","2026-09-06","77","2026-04-07T02:46:35Z","2026-09-06T11:20:45Z"
"AI assistants, MCP servers, and ComfyUI integrations","hoyt-harness/davinci-mcp-professional","https://github.com/hoyt-harness/davinci-mcp-professional","MCP automation organized around Resolve workflows/domains. “Professional” is the project name, not proof of a paid license.","Public","2026-09-06","Windows;macOS;Linux","","https://github.com/hoyt-harness/davinci-mcp-professional#readme","2026-09-06","24","2026-09-03T15:55:16Z","2026-09-06T11:20:45Z"
"AI assistants, MCP servers, and ComfyUI integrations","barckley75/comfyUI_DaVinciResolve","https://github.com/barckley75/comfyUI_DaVinciResolve","ComfyUI nodes connecting generative workflows to Resolve.","Public","2026-09-06","Unverified","","https://github.com/barckley75/comfyUI_DaVinciResolve#readme","2026-09-06","46","2024-06-21T05:43:04Z","2026-09-06T11:20:45Z"
"AI assistants, MCP servers, and ComfyUI integrations","CelaviiHQ/cutmaster-ai","https://github.com/CelaviiHQ/cutmaster-ai","MCP toolkit and Resolve workflow panel. The public toolkit is separate from the paid CutMaster Studio macOS app.","Mixed","2026-09-06","Windows;macOS;Linux","Public toolkit platforms; the separate paid Studio app is macOS-only.","https://github.com/CelaviiHQ/cutmaster-ai#readme","2026-09-06","3","2026-07-20T22:14:51Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","thatcherfreeman/resolve-scripts","https://github.com/thatcherfreeman/resolve-scripts","Everyday Resolve/Fusion automation: timeline, metadata, render, relinking, and other helpers.","Public","2026-09-06","Windows;macOS;Linux","Collection-level installation paths; individual scripts can be platform-specific.","https://github.com/thatcherfreeman/resolve-scripts#readme","2026-09-06","17","2026-08-05T02:59:00Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","X-Raym/DaVinci-Resolve-Scripts","https://github.com/X-Raym/DaVinci-Resolve-Scripts","Free scripts for editing, markers, properties, and project workflows.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/X-Raym/DaVinci-Resolve-Scripts#readme","2026-09-06","94","2025-10-13T15:39:40Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","jjsawdon/DaVinci-Resolve-Utilities","https://github.com/jjsawdon/DaVinci-Resolve-Utilities","Proxy/cache utilities, YouTube chapter export, and project-template helpers.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/jjsawdon/DaVinci-Resolve-Utilities#readme","2026-09-06","44","2025-02-14T23:10:32Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","fukco/DaVinciResolveScript","https://github.com/fukco/DaVinciResolveScript","Metadata and workflow scripting tools; check separately advertised products independently.","Public","2026-09-06","Windows;macOS","","https://github.com/fukco/DaVinciResolveScript#readme","2026-09-06","57","2026-04-02T06:58:11Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","VilleOlof/Toolbox","https://github.com/VilleOlof/Toolbox","Modular Resolve productivity toolbox. Archived—treat as legacy.","Public","2026-09-06","Windows;macOS","Archived. Upstream excludes Linux workflow integrations.","https://github.com/VilleOlof/Toolbox#readme","2026-09-06","61","2024-09-27T22:45:55Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","jdanna/Resolve_Tools_Public","https://github.com/jdanna/Resolve_Tools_Public","Free scripts, DCTLs, and Fusion resources.","Free","2026-09-06","Unverified","","https://github.com/jdanna/Resolve_Tools_Public#readme","2026-09-06","4","2026-08-24T00:51:50Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","IgorRidanovic/AfterEffects_to_DaVinci_Resolve","https://github.com/IgorRidanovic/AfterEffects_to_DaVinci_Resolve","Brings After Effects renders into Resolve workflows.","Public","2026-09-06","Windows","Distributed Windows version; other platforms require customization.","https://github.com/IgorRidanovic/AfterEffects_to_DaVinci_Resolve#readme","2026-09-06","39","2019-04-03T17:31:58Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","IgorRidanovic/DaVinciResolve-DynamicText","https://github.com/IgorRidanovic/DaVinciResolve-DynamicText","Dynamic title/text scripting.","Public","2026-09-06","Unverified","","https://github.com/IgorRidanovic/DaVinciResolve-DynamicText#readme","2026-09-06","25","2020-07-05T22:13:01Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","FranzWegner/multicam-logger","https://github.com/FranzWegner/multicam-logger","Logs camera switching into edit lists for post-production workflows.","Public","2026-09-06","Unverified","","https://github.com/FranzWegner/multicam-logger#readme","2026-09-06","38","2022-12-11T05:16:33Z","2026-09-06T11:20:45Z"
"Productivity scripts, workflow bridges, and integrations","eric-with-a-c/resolve-otio","https://github.com/eric-with-a-c/resolve-otio","OpenTimelineIO interoperability with Resolve.","Public","2026-09-06","Windows;macOS;Linux","Windows instructions provided, but Windows is explicitly untested.","https://github.com/eric-with-a-c/resolve-otio#readme","2026-09-06","27","2022-01-01T20:25:00Z","2026-09-06T11:20:45Z"
